mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
9	9	67/4	67/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	114		articStaccatoBelow						
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	115								
9	9	35/2	35/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	116		articStaccatoAbove						
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	117		articStaccatoBelow						
9	9	16	16	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	118		articStaccatoAbove						
9	9	67/4	67/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	119		articStaccatoBelow						
9	9	17	17	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	120		articTenutoAbove						
10	10	18	18	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	121								
10	10	73/4	73/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8	1/8	1	122		articTenutoAbove						
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	123								
10	10	19	19	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	124		articStaccatoAbove						
10	10	77/4	77/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	125		articStaccatoAbove						
10	10	39/2	39/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	126		articStaccatoAbove						
10	10	79/4	79/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	127		articStaccatoAbove						
10	10	18	18	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	128								
10	10	73/4	73/4	0.5		1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	129		articTenutoBelow						
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	130								
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	131		articStaccatoAbove						
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	132		articStaccatoBelow						
11	11	20	20	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	133								
11	11	81/4	81/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8	1/8	1	134		articTenutoAbove						
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	135								
