mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
2	2	5	5	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	16												
2	2	6	6	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	17												
2	2	7	7	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	18									5			
3	3	8	8	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	19									3			
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	20									3			
3	3	9	9	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	21												
3	3	11	11	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	22												
3	3	8	8	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	23												
3	3	9	9	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	24									6			
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	25									6			
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	26												
3	3	11	11	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	27												
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	28												
4	4	13	13	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	29									7			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	30									7			
4	4	14	14	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	31												
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	32												
4	4	13	13	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	33												
4	4	14	14	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	34												
4	4	15	15	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	35												
5	5	17	17	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	36									8			
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	37									8			
5	5	18	18	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	38									8			
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	39									8			
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	40									8			
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	41									8			
5	5	16	16	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	42												
5	5	17	17	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	43												
5	5	18	18	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	44												
5	5	19	19	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	45												
6	6	20	20	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	46									8			
6	6	41/2	41/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	47									8			
6	6	21	21	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	48									8			
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	49									8			
6	6	22	22	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	50									8			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	51									8			
6	6	23	23	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	52		articStaccatoAbove										
6	6	23	23	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	53												
6	6	20	20	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	54									9			
6	6	21	21	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	55												
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	56		articStaccatoBelow										
7	7	24	24	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	57		articStaccatoAbove										
7	7	25	25	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	58		articStaccatoAbove										
7	7	26	26	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	59		articStaccatoAbove										
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	60		articStaccatoAbove										
7	7	24	24	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	61		articStaccatoBelow										
7	7	25	25	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	62		articStaccatoBelow										
7	7	26	26	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	63		articStaccatoBelow										
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	64		articStaccatoBelow										
8	8	28	28	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	65		articStaccatoBelow										
8	8	30	30	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	66		articStaccatoAbove										
8	8	28	28	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	67		articStaccatoAbove										
8	8	29	29	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	68		articStaccatoBelow										
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	69		articStaccatoAbove										
8	8	31	31	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	70		articStaccatoBelow										
9	9	33	33	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	71									10			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	72									10			
9	9	34	34	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	73									10			
9	9	69/2	69/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	74									10			
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	75									10			
9	9	33	33	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	76												
9	9	34	34	1.5	1/2	1/2	Chord	2/2	1	2	3/8	1/4	3/2	77												
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	78												
9	9	32	32	0.0	0	0	StaffText	2/2	2	1	0						"<i><font size=""8""/>stacc.</i>"									
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	79												
9	9	33	33	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	80												
9	9	34	34	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	81												
9	9	35	35	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	82												
10	10	36	36	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	83									10			
10	10	73/2	73/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	84									10			
10	10	37	37	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	85									10			
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	86									10			
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	87									10			
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	88									10			
10	10	39	39	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	89												
10	10	36	36	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	90												
10	10	37	37	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	91												
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	92												
10	10	77/2	77/2	1.5	5/8	5/8	Chord	2/2	1	2	3/8	1/4	3/2	93												
10	10	36	36	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	94												
10	10	37	37	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	95												
10	10	38	38	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	96												
10	10	39	39	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	97												
11	11	41	41	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	98									11			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	99									11			
11	11	42	42	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	100									11			
11	11	85/2	85/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	101									11			
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	102									11			
11	11	41	41	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	103												
11	11	42	42	1.5	1/2	1/2	Chord	2/2	1	2	3/8	1/4	3/2	104												
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	105												
11	11	40	40	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	106												
11	11	41	41	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	107												
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	108												
11	11	43	43	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	109												
12	12	44	44	0.0	0	0	Spanner	2/2	1	1	0												11		0	
12	12	44	44	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	110									11		0	
12	12	89/2	89/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	111									11		0	
12	12	45	45	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	112									11		0	
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	113									11		0	
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	114									11		0	
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	115									11		0	
12	12	47	47	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	116											0	
12	12	44	44	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	117											0	
12	12	45	45	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	118											0	
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	119											0	
12	12	93/2	93/2	1.5	5/8	5/8	Chord	2/2	1	2	3/8	1/4	3/2	120											0	
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	121												
12	12	45	45	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	122												
12	12	46	46	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	123												
12	12	47	47	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	124												
13	13	48	48	0.0	0	0	Spanner	2/2	1	1	0															
13	13	48	48	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	125									12			
13	13	97/2	97/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	126									12			
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	127									12			
13	13	50	50	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	128												
13	13	51	51	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	129		articAccentAbove							13			
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	130									13			
13	13	48	48	0.0	0	0	Dynamic	2/2	1	2	0				f											
13	13	48	48	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	131												
13	13	49	49	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	132												
13	13	50	50	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	133												
13	13	51	51	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	134												
14	14	52	52	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	135									13			
14	14	105/2	105/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	136									13			
14	14	53	53	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	137												
14	14	54	54	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	138									14			
14	14	109/2	109/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	139									14			
14	14	55	55	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	140									14			
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	141									14			
14	14	52	52	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	142												
14	14	53	53	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	143												
14	14	54	54	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	144												
14	14	109/2	109/2	0.5	5/8	5/8	Chord	2/2	1	2	1/8	1/8	1	145												
14	14	55	55	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	146												
15	15	56	56	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	147									14			
15	15	113/2	113/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	148									14			
15	15	115/2	115/2	0.0	3/8	3/8	Spanner	2/2	1	1	0												14		1	
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	149									14		1	
15	15	58	58	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	150											1	
15	15	59	59	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	151		articAccentAbove							15		1	
15	15	119/2	119/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	152									15		1	
15	15	56	56	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	153											1	
15	15	57	57	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	154											1	
15	15	58	58	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	155											1	
15	15	59	59	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	156											1	
16	16	60	60	0.0	0	0	Spanner	2/2	1	1	0												15			
16	16	60	60	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	157									15			
16	16	121/2	121/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	158									15			
16	16	61	61	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	159												
16	16	62	62	0.0	1/2	1/2	Spanner	2/2	1	1	0														2	
16	16	62	62	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	160									16		2	
16	16	125/2	125/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	161									16		2	
16	16	63	63	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	162									16		2	
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	163									16		2	
16	16	60	60	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	164											2	
16	16	61	61	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	165											2	
16	16	62	62	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	166											2	
16	16	63	63	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	167											2	
17	17	64	64	0.0	0	0	StaffText	2/2	1	1	0						L.H.									
17	17	64	64	0.0	0	0	Dynamic	2/2	1	1	0				ff											
17	17	64	64	0.0	0	0	Spanner	2/2	1	1	0															
17	17	64	64	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	168												
17	17	129/2	129/2	0.0	1/8	1/8	Spanner	2/2	1	1	0													0		
17	17	65	65	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	169									17	0		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	170									17	0		
17	17	66	66	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	171										0		
17	17	133/2	133/2	0.0	5/8	5/8	Spanner	2/2	1	1	0															
17	17	133/2	133/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	172									18			
17	17	67	67	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	173									18			
17	17	135/2	135/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	174												
18	18	68	68	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	175									19			
18	18	137/2	137/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	176									19			
18	18	69	69	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	177												
18	18	139/2	139/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	178									20			
18	18	70	70	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	179									20			
18	18	141/2	141/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	180												
18	18	71	71	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	181									21			
18	18	143/2	143/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	182									21			
19	19	72	72	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	183												
19	19	145/2	145/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	184												
19	19	73	73	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	185												
19	19	147/2	147/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	186												
19	19	74	74	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	187									22			
19	19	149/2	149/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	188									22			
19	19	75	75	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	189												
19	19	151/2	151/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	190									23			
20	20	76	76	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	191									23			
20	20	153/2	153/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	192												
20	20	77	77	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	193									24			
20	20	155/2	155/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	194									24			
20	20	78	78	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	195												
20	20	157/2	157/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	196									25			
20	20	79	79	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	197												
21	21	80	80	0.0	0	0	Dynamic	2/2	1	1	0				f											
21	21	161/2	161/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	198									26			
21	21	81	81	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	199									26			
21	21	163/2	163/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	200									26			
21	21	82	82	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	201												
21	21	167/2	167/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	202									27			
21	21	81	81	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	203												
21	21	83	83	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	204												
21	21	80	80	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	205												
22	22	84	84	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	206									27			
22	22	169/2	169/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	207									27			
22	22	85	85	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	208									27			
22	22	171/2	171/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	209												
22	22	87	87	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	210									28			
22	22	175/2	175/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	211									28			
22	22	84	84	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	212												
22	22	85	85	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	213												
22	22	86	86	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	214												
22	22	87	87	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	215												
23	23	88	88	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	216									28			
23	23	177/2	177/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	217									28			
23	23	89	89	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	218									28			
23	23	179/2	179/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	219									28			
23	23	90	90	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	220									28			
23	23	181/2	181/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	221									28			
23	23	91	91	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	222									28			
23	23	183/2	183/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	223									28			
23	23	88	88	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	224												
24	24	92	92	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	225									28			
24	24	185/2	185/2	0.0	1/8	1/8	Spanner	2/2	1	1	0												28		3	
24	24	185/2	185/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	226									28		3	
24	24	93	93	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	227									28		3	
24	24	187/2	187/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	228									28		3	
24	24	94	94	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	229											3	
24	24	95	95	0.0	3/4	3/4	Spanner	2/2	1	1	0													1	3	
24	24	95	95	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	230									29	1	3	
24	24	191/2	191/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	231										1	3	
25	25	96	96	0.0	0	0	Dynamic	2/2	1	1	0				ff									1		
25	25	96	96	0.0	0	0	Spanner	2/2	1	1	0													1		
25	25	193/2	193/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	232										1		
25	25	97	97	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	233										1		
25	25	195/2	195/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	234										1		
25	25	98	98	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	235										1		
25	25	197/2	197/2	0.0	5/8	5/8	Spanner	2/2	1	1	0															
25	25	199/2	199/2	0.0	7/8	7/8	Dynamic	2/2	1	1	0				f											
25	25	199/2	199/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	236									30			
25	25	97	97	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	237												
25	25	98	98	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	238												
25	25	99	99	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	239												
26	26	100	100	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	240									30			
26	26	201/2	201/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	241									30			
26	26	101	101	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	242									30			
26	26	203/2	203/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	243												
26	26	205/2	205/2	0.0	5/8	5/8	Spanner	2/2	1	1	0													2		
26	26	205/2	205/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	244									31	2		
26	26	103	103	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	245									31	2		
26	26	207/2	207/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	246									31	2		
26	26	100	100	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	247												
26	26	101	101	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	248												
26	26	102	102	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	249												
26	26	103	103	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	250												
27	27	104	104	0.0	0	0	Spanner	2/2	1	1	0												31			
27	27	104	104	0.3333333333333333	0	0	Chord	2/2	1	1	1/12	1/8	2/3	251									31			
27	27	313/3	313/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12	1/8	2/3	252									31			
27	27	314/3	314/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12	1/8	2/3	253									31			
27	27	105	105	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	254												
27	27	211/2	211/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	255		articAccentAbove							32			
27	27	106	106	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	256									32			
27	27	213/2	213/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	257									32			
27	27	107	107	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	258									32			
27	27	215/2	215/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	259												
27	27	104	104	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	260												
27	27	106	106	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	261												
27	27	107	107	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	262												
28	28	217/2	217/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	263									33			
28	28	109	109	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	264									33			
28	28	219/2	219/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	265									33			
28	28	110	110	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	266									33			
